GEMS Station Number,Historical GEMS Number,Local Station Number,Country Name,Water Type,Station Identifier,Station Narrative,Water Body Name,Main Basin,Upstream Basin Area,Elevation,Monitoring Type,Date Station Opened,Responsible Collection Agency,Latitude,Longitude,River Width,Discharge,Max. Depth,Lake Area,Lake Volume,Average Retention,Area of Aquifer,Depth of Impermeable Lining,Production Zone,Mean Abstraction Rate,Mean Abstraction Level
NLD00192,,NL07_DIW02,Netherlands (the),Lake station,DIDAMSE WETERING,,,VECHT,,8,TREND,NaT,European Environment Agency,51.9911,6.1577,,,,,,,,,,,
NLD00191,,NL07_BUB01,Netherlands (the),River station,BUURSERBEEK,,,VECHT,,38,TREND,NaT,European Environment Agency,52.1394,6.8501,,,,,,,,,,,
NLD00190,,NL07_BSB01,Netherlands (the),River station,BERGERSLAGBEEK,,,VECHT,,13,TREND,NaT,European Environment Agency,51.901,6.3897,,,,,,,,,,,
NLD00189,,NL07_BHB02,Netherlands (the),River station,BIELHEIMERBEEK,,,VECHT,,11,TREND,NaT,European Environment Agency,51.9351,6.3208,,,,,,,,,,,
JPN00017,080017,,Japan,River station,Ishikari River - at Ishikari,1.2 km northwest of Ebetsu,,ISHIKARI,12697,0.6,FLUX,1970-09-01,National Institute for Environmental Studies - Center for Global Environment Research,43.12111111,141.5463889,360,388,,,,,,,,,
NLD00310,,NL27_240113,Netherlands (the),River station,NIEUWE LEIJ EN POP L EN ROV L EN VOORSTE STROOM,,,RHINE-MEUSE,,21,TREND,NaT,European Environment Agency,51.4872,5.0332,,,,,,,,,,,
NLD00311,,NL27_240116,Netherlands (the),River station,NIEUWE LEIJ EN POP L EN ROV L EN VOORSTE STROOM,,,RHINE-MEUSE,,12,TREND,NaT,European Environment Agency,51.5485,5.113,,,,,,,,,,,
NLD00312,,NL27_240129,Netherlands (the),Lake station,BROEKLEIJ,,,RHINE-MEUSE,,10,TREND,NaT,European Environment Agency,51.6561,5.254,,,,,,,,,,,
NLD00313,,NL27_244151,Netherlands (the),Lake station,BEATRIXKANAAL,,,RHINE-MEUSE,,22,TREND,NaT,European Environment Agency,51.4605,5.3979,,,,,,,,,,,
NLD00314,,NL27_244171,Netherlands (the),Lake station,EINDHOVENS KANAAL,,,RHINE-MEUSE,,20,TREND,NaT,European Environment Agency,51.4317,5.5409,,,,,,,,,,,
NLD00315,,NL27_245565,Netherlands (the),Lake station,BEEKSE BERGEN,,,RHINE-MEUSE,,14,TREND,NaT,European Environment Agency,51.5261,5.1256,,,,,,,,,,,
NLD00316,,NL33_1103,Netherlands (the),River station,WESTERWOLDSE AA NOORD,,,EMS,,-1,TREND,NaT,European Environment Agency,53.2319,7.2076,,,,,,,,,,,
NLD00197,,NL07_GRB02,Netherlands (the),River station,GROTE BEEK,,,VECHT,,5,TREND,NaT,European Environment Agency,52.0702,6.1769,,,,,,,,,,,
NLD00317,,NL33_1104,Netherlands (the),Lake station,KANALEN WESTERWOLDE,,,EMS,,1,TREND,NaT,European Environment Agency,53.057,7.1264,,,,,,,,,,,
NLD00308,,NL27_240091,Netherlands (the),River station,ROSEP,,,RHINE-MEUSE,,6,TREND,NaT,European Environment Agency,51.588,5.2441,,,,,,,,,,,
NLD00309,,NL27_240105,Netherlands (the),River station,REUSEL EN RAAMSLOOP EN ACHTERSTE STROOM,,,RHINE-MEUSE,,12,TREND,NaT,European Environment Agency,51.568,5.1947,,,,,,,,,,,
NLD00188,,NL07_BAV00,Netherlands (the),Lake station,BARCHEMSE VEENGOOT,,,VECHT,,16,TREND,NaT,European Environment Agency,52.1499,6.3949,,,,,,,,,,,
